user,item,label
45036,26164,0
8299,26470,0
19330,20,0
40,141,0
33224,37068,0
21724,3686,0
31861,37306,0
40174,3991,0
7667,5725,0
6651,47710,0
6533,60353,0
21440,90603,0
23806,10823,0
1665,51020,0
18337,76740,0
21130,69908,0
8499,63522,0
19203,70266,0
39538,37581,0
48481,2177,0
35642,9055,0
15012,5425,0
26269,22008,0
2896,15177,0
20788,54897,0
22643,3384,0
14024,21701,0
3790,84306,0
1199,21215,0
7256,22660,0
12049,17626,0
40355,33139,0
29706,28558,0
6403,4228,0
13762,11309,0
1054,28128,0
18580,52317,0
10594,1245,0
9129,53815,0
8299,18444,0
34215,61746,0
21463,36974,0
11306,42207,0
37990,16974,0
1948,54392,0
26601,21559,0
29785,64321,0
531,5702,0
13190,21590,0
13102,71238,0
3850,14307,0
4746,4819,0
17159,6751,0
39258,41987,0
34708,48047,0
556,19248,0
17807,995,0
8150,23827,0
37639,9845,0
39458,739,0
3283,3515,0
11075,34028,0
42817,49852,0
11182,84914,0
9628,16285,0
2138,43193,0
1612,42247,0
23997,18707,0
13422,50098,0
25785,70833,0
35923,90194,0
13464,44114,0
1775,36148,0
45105,11818,0
13422,165,0
26136,22457,0
42139,64551,0
4923,47090,0
16769,53606,0
43864,50711,0
21248,33985,0
2055,44565,0
31512,64098,0
9504,76059,0
16894,74495,0
7099,11559,0
6232,29674,0
6126,53222,0
3851,72137,0
25232,37747,0
5014,52095,0
16353,87873,0
47184,38173,0
30771,8143,0
7267,80695,0
5590,31036,0
1922,56873,0
14034,39823,0
7596,75851,0
4372,8085,0
37050,26980,0
463,43388,0
23732,42898,0
22228,16322,0
16187,24430,0
5152,23268,0
19810,14470,0
2600,60227,0
181,38506,0
8305,46927,0
27832,67058,0
4132,40341,0
43411,57950,0
923,33461,0
5867,17594,0
5976,4375,0
33154,62922,0
7795,85397,0
14157,12638,0
8152,25403,0
1210,12840,0
9680,48756,0
1425,6602,0
37971,3689,0
47159,1559,0
36312,36590,0
11914,56412,0
47089,50519,0
7250,48245,0
21227,78066,0
30463,75925,0
234,20778,0
34206,24211,0
31705,17538,0
18405,31154,0
34993,62953,0
19695,12907,0
47958,16365,0
4382,30870,0
4126,68680,0
24280,8072,0
5472,2152,0
18934,20816,0
35288,15057,0
24201,272,0
36365,11065,0
21803,18791,0
47314,1386,0
3710,63601,0
13994,11799,0
43954,43977,0
17791,25839,0
20015,16639,0
6115,40363,0
41949,46171,0
3085,40667,0
45381,13204,0
1508,3266,0
19738,40289,0
5731,8865,0
1098,60873,0
40431,57636,0
35335,5254,0
27739,13323,0
27895,2122,0
8254,22688,0
9051,11059,0
5112,33232,0
21799,7222,0
24679,6648,0
1411,7786,0
163,1744,0
6341,28516,0
7062,61978,0
25476,42389,0
11228,55410,0
33628,7197,0
14130,57270,0
9711,81378,0
46442,95,0
20171,45983,0
18369,24952,0
9120,25267,0
5432,44575,0
5238,55080,0
983,3135,0
8672,54329,0
8801,1285,0
41576,6346,0
1141,78710,0
3195,19568,0
9435,47481,0
10654,3485,0
8202,38584,0
3474,39634,0
21294,48037,0
20620,14060,0
8388,1584,0
3551,13191,0
6939,4471,0
21576,83637,0
29448,15898,0
19894,15403,0
46828,18036,0
26055,36898,0
5983,19432,0
24450,8183,0
16111,23573,0
28483,31950,0
8633,47337,0
25030,899,0
6615,5394,0
10750,31446,0
27122,45317,0
15297,25863,0
2141,37931,0
806,59712,0
6214,26663,0
29720,33573,0
35992,13939,0
35779,47037,0
6241,73910,0
5100,81985,0
16259,5001,0
8977,42602,0
9359,13831,0
333,1343,0
40496,53744,0
29453,53545,0
2348,251,0
20226,82519,0
10281,54642,0
7111,5357,0
17651,14314,0
14,3772,0
17437,16192,0
3611,18971,0
5598,14571,0
26727,16423,0
10637,217,0
46220,86369,0
36329,54717,0
15820,16650,0
28998,3563,0
23874,82667,0
24358,48916,0
40770,43244,0
37299,68400,0
37025,53301,0
33188,5822,0
8602,16839,0
15721,49066,0
16724,56952,0
5613,19352,0
4708,36871,0
30527,2967,0
20882,60873,0
4721,6794,0
11231,6014,0
6907,4,0
30186,54142,0
42121,42075,0
2418,60601,0
1256,2099,0
10626,10029,0
5375,24367,0
41780,13846,0
781,17802,0
49481,1676,0
38484,33658,0
41533,3927,0
43967,7762,0
26199,34127,0
50146,1082,0
12476,68421,0
9052,37635,0
6955,67600,0
35717,53304,0
10120,27027,0
22549,37923,0
17858,21263,0
6911,85391,0
7680,4944,0
20692,62846,0
48449,9361,0
15895,17076,0
1673,82649,0
2693,1405,0
4663,53668,0
357,22273,0
9653,8484,0
7218,16857,0
6323,8350,0
51427,2634,0
32292,12661,0
33072,18222,0
781,5182,0
4223,7000,0
36943,12857,0
3297,40987,0
20416,40622,0
26435,75359,0
2813,25882,0
31114,79302,0
12042,24237,0
15412,48429,0
6981,5201,0
3847,725,0
29096,7273,0
19427,16507,0
14298,55985,0
38313,42664,0
17766,50784,0
37380,965,0
1794,4169,0
17091,6676,0
464,13095,0
15224,77929,0
26741,11122,0
24927,9388,0
31092,14733,0
6636,1824,0
23955,32630,0
2821,68461,0
3886,21092,0
22866,5411,0
22092,63339,0
16719,58814,0
39716,11492,0
37290,91186,0
23429,44545,0
40822,86518,0
44289,11070,0
40042,19257,0
388,76199,0
24178,17066,0
33209,79888,0
72,9287,0
7553,75439,0
