user,item,label
45036,26164,1
8299,26470,1
19330,20,1
40,141,1
33224,37068,1
21724,3686,1
31861,37306,1
40174,3991,1
7667,5725,1
6651,47710,1
6533,60353,1
21440,90603,1
23806,10823,1
1665,51020,1
18337,76740,1
21130,69908,1
8499,63522,1
19203,70266,1
39538,37581,1
48481,2177,1
35642,9055,1
15012,5425,1
26269,22008,1
2896,15177,1
20788,54897,1
22643,3384,1
14024,21701,1
3790,84306,1
1199,21215,1
7256,22660,1
12049,17626,1
40355,33139,1
29706,28558,1
6403,4228,1
13762,11309,1
1054,28128,1
18580,52317,1
10594,1245,1
9129,53815,1
8299,18444,1
34215,61746,1
21463,36974,1
11306,42207,1
37990,16974,1
1948,54392,1
26601,21559,1
29785,64321,1
531,5702,1
13190,21590,1
13102,71238,1
3850,14307,1
4746,4819,1
17159,6751,1
39258,41987,1
34708,48047,1
556,19248,1
17807,995,1
8150,23827,1
37639,9845,1
39458,739,1
3283,3515,1
11075,34028,1
42817,49852,1
11182,84914,1
9628,16285,1
2138,43193,1
1612,42247,1
23997,18707,1
13422,50098,1
25785,70833,1
35923,90194,1
13464,44114,1
1775,36148,1
45105,11818,1
13422,165,1
26136,22457,1
42139,64551,1
4923,47090,1
16769,53606,1
43864,50711,1
21248,33985,1
2055,44565,1
31512,64098,1
9504,76059,1
16894,74495,1
7099,11559,1
6232,29674,1
6126,53222,1
3851,72137,1
25232,37747,1
5014,52095,1
16353,87873,1
47184,38173,1
30771,8143,1
7267,80695,1
5590,31036,1
1922,56873,1
14034,39823,1
7596,75851,1
4372,8085,1
37050,26980,1
463,43388,1
23732,42898,1
22228,16322,1
16187,24430,1
5152,23268,1
19810,14470,1
2600,60227,1
181,38506,1
8305,46927,1
27832,67058,1
4132,40341,1
43411,57950,1
923,33461,1
5867,17594,1
5976,4375,1
33154,62922,1
7795,85397,1
14157,12638,1
8152,25403,1
1210,12840,1
9680,48756,1
1425,6602,1
37971,3689,1
47159,1559,1
36312,36590,1
11914,56412,1
47089,50519,1
7250,48245,1
21227,78066,1
30463,75925,1
234,20778,1
34206,24211,1
31705,17538,1
18405,31154,1
34993,62953,1
19695,12907,1
47958,16365,1
4382,30870,1
4126,68680,1
24280,8072,1
5472,2152,1
18934,20816,1
35288,15057,1
24201,272,1
36365,11065,1
21803,18791,1
47314,1386,1
3710,63601,1
13994,11799,1
43954,43977,1
17791,25839,1
20015,16639,1
6115,40363,1
41949,46171,1
3085,40667,1
45381,13204,1
1508,3266,1
19738,40289,1
5731,8865,1
1098,60873,1
40431,57636,1
35335,5254,1
27739,13323,1
27895,2122,1
8254,22688,1
9051,11059,1
5112,33232,1
21799,7222,1
24679,6648,1
1411,7786,1
163,1744,1
6341,28516,1
