user,item,label
8755,17687,0
972,5211,0
23657,3078,0
28111,10837,0
29341,19668,0
567,25449,0
7521,347,0
10350,21753,0
1652,7352,0
29633,8734,0
20253,13049,0
9326,4367,0
1550,807,0
22428,739,0
6764,33039,0
6113,33462,0
27195,21849,0
27588,25456,0
3762,32145,0
3951,6031,0
31231,3677,0
1025,9791,0
7018,19116,0
25113,9464,0
17592,7492,0
4841,22610,0
3350,18150,0
956,2706,0
28195,30153,0
8673,3583,0
6652,5034,0
19394,2916,0
22604,20202,0
20383,24002,0
5901,21077,0
8369,11983,0
13109,8460,0
7083,2457,0
27440,6859,0
29497,3044,0
382,5427,0
4705,19287,0
7411,430,0
1688,3496,0
5697,27842,0
1363,37651,0
12191,17935,0
2875,13453,0
9798,17521,0
1513,27100,0
16814,28635,0
23703,3874,0
17537,8680,0
4614,8863,0
4933,28292,0
19541,32903,0
8807,9440,0
7674,6266,0
5442,20481,0
11034,20676,0
29437,9628,0
14589,23483,0
7480,1332,0
5530,136,0
19115,2881,0
14430,172,0
11591,3417,0
20476,5053,0
5442,25345,0
16350,11906,0
7091,7549,0
6583,4333,0
20169,757,0
27599,23322,0
4598,2150,0
10187,7379,0
17991,28556,0
11115,3400,0
8155,29977,0
3930,31911,0
28071,18680,0
5454,7237,0
2125,7701,0
22809,5122,0
18387,4369,0
1279,21442,0
17038,6755,0
2873,3788,0
9526,6720,0
715,7267,0
10711,9083,0
8691,6984,0
19535,7586,0
22063,27462,0
19777,2115,0
22630,635,0
8552,7668,0
25764,21346,0
17458,7620,0
18724,11388,0
5598,26385,0
10788,3807,0
1509,16602,0
5371,11349,0
15970,17562,0
9423,29116,0
15937,3589,0
4297,3296,0
29561,1441,0
12593,12031,0
22068,13431,0
15429,12163,0
16819,12307,0
9658,30645,0
991,982,0
5998,466,0
9873,24851,0
24209,28150,0
6840,21056,0
21522,15371,0
14795,6961,0
21580,17399,0
9035,30019,0
18258,16354,0
3678,3480,0
16719,24988,0
5108,2365,0
31498,6233,0
8514,10329,0
8725,32004,0
15479,6929,0
3321,8573,0
466,18744,0
379,20633,0
9451,34508,0
7602,28266,0
8159,3013,0
12153,4132,0
19501,20716,0
8315,20634,0
1184,8543,0
20745,2407,0
2538,2932,0
13166,1254,0
28078,24,0
28444,14450,0
25682,5189,0
18440,25044,0
23399,14179,0
14292,30231,0
25707,27429,0
17568,58,0
2397,18356,0
24891,6884,0
7747,16827,0
1030,22163,0
21176,5765,0
26269,10220,0
9554,11679,0
27870,15083,0
9333,752,0
22939,20776,0
6911,21697,0
4894,22646,0
9252,24359,0
424,3663,0
993,12843,0
598,16882,0
20707,9946,0
13298,17006,0
18742,1673,0
4663,8261,0
9882,14475,0
9697,7174,0
1184,25758,0
12627,1422,0
29098,1005,0
5272,2348,0
3339,11624,0
25376,20040,0
2244,10677,0
31046,19800,0
9320,27359,0
31048,25736,0
4296,5947,0
27120,2343,0
2710,20379,0
19281,789,0
5182,7843,0
16895,18304,0
9466,6961,0
26949,22974,0
2105,10915,0
25456,36594,0
9782,12068,0
6947,3369,0
26844,4059,0
22765,20005,0
31345,10802,0
28214,3188,0
14464,23209,0
20834,3096,0
10522,14305,0
5426,1737,0
7427,5914,0
21915,22218,0
27821,11130,0
20922,36255,0
13441,1274,0
10863,26721,0
18271,5320,0
7427,38032,0
3779,5206,0
3602,34513,0
10705,32495,0
167,28765,0
20349,35616,0
27759,22676,0
4003,628,0
4401,33641,0
12994,22572,0
15170,4608,0
15680,4982,0
14455,12166,0
7210,2176,0
21380,1876,0
7244,26,0
31026,471,0
4362,4964,0
14088,4879,0
3322,6686,0
19800,2753,0
1363,32031,0
7901,5888,0
6803,31965,0
7265,127,0
11423,11996,0
26131,5261,0
7906,9682,0
22401,30119,0
377,14291,0
10553,26855,0
10399,13923,0
8256,2545,0
23228,37173,0
12272,984,0
617,2300,0
5097,4150,0
2838,11244,0
19527,30737,0
4695,23137,0
18297,171,0
10146,4883,0
10279,5088,0
31545,1092,0
3261,25119,0
708,6572,0
20638,1625,0
24807,2387,0
27,11821,0
17134,335,0
12820,7164,0
13115,16559,0
1956,245,0
28006,6414,0
2485,8854,0
467,276,0
25436,32200,0
3469,290,0
25790,32022,0
4270,6403,0
5323,1433,0
10837,37255,0
10140,20782,0
27768,12674,0
8281,10822,0
4361,34563,0
8383,7728,0
25797,18005,0
19170,7688,0
6056,27973,0
5235,11783,0
3931,18541,0
28019,8034,0
3559,2416,0
8279,5830,0
21693,23329,0
13241,13637,0
14721,18095,0
11410,6123,0
28539,13010,0
2796,26616,0
991,8803,0
1884,20459,0
24617,264,0
1084,6619,0
17915,33012,0
5900,20029,0
1652,10611,0
30095,8698,0
12439,7817,0
3949,15263,0
27441,4402,0
2891,7285,0
24314,8599,0
8259,32828,0
1965,5357,0
30307,3498,0
2065,18716,0
5470,38035,0
25974,3215,0
212,11484,0
11865,24177,0
19053,37803,0
13925,8559,0
10326,18131,0
3428,7207,0
8554,10389,0
18214,4585,0
15180,15545,0
12,3015,0
20858,32823,0
29904,16537,0
661,13688,0
909,4373,0
5900,6297,0
29064,11019,0
18816,12415,0
4062,777,0
11438,2169,0
12482,2169,0
25054,15497,0
20059,8834,0
21590,5352,0
1949,6003,0
15539,598,0
13413,7221,0
767,20631,0
6727,4215,0
8460,12763,0
6268,25500,0
19227,2208,0
10326,1219,0
26570,27876,0
1046,22551,0
2890,8019,0
12961,35186,0
11802,806,0
23224,2628,0
11892,27616,0
1980,6233,0
26817,17811,0
23316,6174,0
12137,9324,0
13349,20068,0
16404,1533,0
23366,33412,0
24674,430,0
1754,16446,0
10045,1462,0
1020,7862,0
15858,12311,0
16519,20360,0
1688,14907,0
9525,20071,0
27944,15966,0
29087,9997,0
17058,36951,0
18897,3992,0
13688,1165,0
8884,37122,0
1183,3841,0
13887,4471,0
21294,32309,0
337,1016,0
13266,2441,0
8259,13034,0
7791,10884,0
11369,14531,0
28971,1619,0
4935,1260,0
12311,449,0
20758,1134,0
24162,14498,0
66,26037,0
295,3776,0
13228,4523,0
27675,22213,0
8056,2302,0
