user,item,label
8755,17687,1
972,5211,1
23657,3078,1
28111,10837,1
29341,19668,1
567,25449,1
7521,347,1
10350,21753,1
1652,7352,1
29633,8734,1
20253,13049,1
9326,4367,1
1550,807,1
22428,739,1
6764,33039,1
6113,33462,1
27195,21849,1
27588,25456,1
3762,32145,1
3951,6031,1
31231,3677,1
1025,9791,1
7018,19116,1
25113,9464,1
17592,7492,1
4841,22610,1
3350,18150,1
956,2706,1
28195,30153,1
8673,3583,1
6652,5034,1
19394,2916,1
22604,20202,1
20383,24002,1
5901,21077,1
8369,11983,1
13109,8460,1
7083,2457,1
27440,6859,1
29497,3044,1
382,5427,1
4705,19287,1
7411,430,1
1688,3496,1
5697,27842,1
1363,37651,1
12191,17935,1
2875,13453,1
9798,17521,1
1513,27100,1
16814,28635,1
23703,3874,1
17537,8680,1
4614,8863,1
4933,28292,1
19541,32903,1
8807,9440,1
7674,6266,1
5442,20481,1
11034,20676,1
29437,9628,1
14589,23483,1
7480,1332,1
5530,136,1
19115,2881,1
14430,172,1
11591,3417,1
20476,5053,1
5442,25345,1
16350,11906,1
7091,7549,1
6583,4333,1
20169,757,1
27599,23322,1
4598,2150,1
10187,7379,1
17991,28556,1
11115,3400,1
8155,29977,1
3930,31911,1
28071,18680,1
5454,7237,1
2125,7701,1
22809,5122,1
18387,4369,1
1279,21442,1
17038,6755,1
2873,3788,1
9526,6720,1
715,7267,1
10711,9083,1
8691,6984,1
19535,7586,1
22063,27462,1
19777,2115,1
22630,635,1
8552,7668,1
25764,21346,1
17458,7620,1
18724,11388,1
5598,26385,1
10788,3807,1
1509,16602,1
5371,11349,1
15970,17562,1
9423,29116,1
15937,3589,1
4297,3296,1
29561,1441,1
12593,12031,1
22068,13431,1
15429,12163,1
16819,12307,1
9658,30645,1
991,982,1
5998,466,1
9873,24851,1
24209,28150,1
6840,21056,1
21522,15371,1
14795,6961,1
21580,17399,1
9035,30019,1
18258,16354,1
3678,3480,1
16719,24988,1
5108,2365,1
31498,6233,1
8514,10329,1
8725,32004,1
15479,6929,1
3321,8573,1
466,18744,1
379,20633,1
9451,34508,1
7602,28266,1
8159,3013,1
12153,4132,1
19501,20716,1
8315,20634,1
1184,8543,1
20745,2407,1
2538,2932,1
13166,1254,1
28078,24,1
28444,14450,1
25682,5189,1
18440,25044,1
23399,14179,1
14292,30231,1
25707,27429,1
17568,58,1
2397,18356,1
24891,6884,1
7747,16827,1
1030,22163,1
21176,5765,1
26269,10220,1
9554,11679,1
27870,15083,1
9333,752,1
22939,20776,1
6911,21697,1
4894,22646,1
9252,24359,1
424,3663,1
993,12843,1
598,16882,1
20707,9946,1
13298,17006,1
18742,1673,1
4663,8261,1
9882,14475,1
9697,7174,1
1184,25758,1
12627,1422,1
29098,1005,1
5272,2348,1
3339,11624,1
25376,20040,1
2244,10677,1
31046,19800,1
9320,27359,1
31048,25736,1
4296,5947,1
27120,2343,1
2710,20379,1
19281,789,1
5182,7843,1
16895,18304,1
9466,6961,1
26949,22974,1
2105,10915,1
25456,36594,1
9782,12068,1
6947,3369,1
26844,4059,1
22765,20005,1
31345,10802,1
28214,3188,1
14464,23209,1
20834,3096,1
10522,14305,1
5426,1737,1
7427,5914,1
21915,22218,1
27821,11130,1
20922,36255,1
13441,1274,1
10863,26721,1
18271,5320,1
7427,38032,1
3779,5206,1
3602,34513,1
10705,32495,1
167,28765,1
20349,35616,1
27759,22676,1
4003,628,1
4401,33641,1
12994,22572,1
15170,4608,1
15680,4982,1
14455,12166,1
7210,2176,1
21380,1876,1
7244,26,1
31026,471,1
4362,4964,1
14088,4879,1
3322,6686,1
19800,2753,1
1363,32031,1
7901,5888,1
6803,31965,1
7265,127,1
11423,11996,1
26131,5261,1
7906,9682,1
22401,30119,1
377,14291,1
10553,26855,1
10399,13923,1
8256,2545,1
23228,37173,1
12272,984,1
617,2300,1
5097,4150,1
2838,11244,1
19527,30737,1
4695,23137,1
18297,171,1
10146,4883,1
10279,5088,1
31545,1092,1
3261,25119,1
708,6572,1
20638,1625,1
24807,2387,1
27,11821,1
17134,335,1
12820,7164,1
13115,16559,1
1956,245,1
28006,6414,1
2485,8854,1
467,276,1
25436,32200,1
3469,290,1
25790,32022,1
4270,6403,1
5323,1433,1
10837,37255,1
10140,20782,1
27768,12674,1
8281,10822,1
4361,34563,1
8383,7728,1
25797,18005,1
19170,7688,1
6056,27973,1
5235,11783,1
3931,18541,1
28019,8034,1
3559,2416,1
8279,5830,1
21693,23329,1
13241,13637,1
14721,18095,1
11410,6123,1
28539,13010,1
2796,26616,1
991,8803,1
1884,20459,1
24617,264,1
1084,6619,1
17915,33012,1
5900,20029,1
1652,10611,1
30095,8698,1
12439,7817,1
3949,15263,1
27441,4402,1
2891,7285,1
24314,8599,1
8259,32828,1
1965,5357,1
30307,3498,1
2065,18716,1
5470,38035,1
25974,3215,1
212,11484,1
11865,24177,1
19053,37803,1
13925,8559,1
10326,18131,1
3428,7207,1
8554,10389,1
18214,4585,1
15180,15545,1
12,3015,1
20858,32823,1
29904,16537,1
661,13688,1
909,4373,1
5900,6297,1
29064,11019,1
18816,12415,1
4062,777,1
11438,2169,1
12482,2169,1
25054,15497,1
20059,8834,1
21590,5352,1
1949,6003,1
15539,598,1
13413,7221,1
767,20631,1
6727,4215,1
8460,12763,1
6268,25500,1
19227,2208,1
10326,1219,1
26570,27876,1
1046,22551,1
2890,8019,1
12961,35186,1
11802,806,1
23224,2628,1
11892,27616,1
1980,6233,1
26817,17811,1
23316,6174,1
12137,9324,1
13349,20068,1
16404,1533,1
23366,33412,1
24674,430,1
1754,16446,1
10045,1462,1
1020,7862,1
15858,12311,1
16519,20360,1
1688,14907,1
9525,20071,1
27944,15966,1
29087,9997,1
17058,36951,1
18897,3992,1
13688,1165,1
8884,37122,1
1183,3841,1
13887,4471,1
21294,32309,1
337,1016,1
13266,2441,1
8259,13034,1
7791,10884,1
11369,14531,1
28971,1619,1
4935,1260,1
12311,449,1
20758,1134,1
24162,14498,1
66,26037,1
295,3776,1
13228,4523,1
27675,22213,1
8056,2302,1
22183,4052,1
6108,11006,1
1947,813,1
5476,19646,1
4610,16928,1
952,20186,1
3567,8336,1
380,5619,1
21260,2413,1
2513,21503,1
30153,12679,1
11807,8870,1
10075,9450,1
794,4054,1
28,2747,1
24066,4942,1
5408,13460,1
9119,12358,1
22125,4461,1
11292,11782,1
23869,9368,1
17257,36061,1
8726,2891,1
30973,22750,1
7581,1756,1
19120,9377,1
27439,15986,1
3225,6600,1
24154,5969,1
6027,785,1
5388,636,1
27598,28227,1
26563,26277,1
527,17884,1
5469,29253,1
13746,18030,1
22749,13802,1
9902,4347,1
310,4314,1
16034,366,1
732,2747,1
11044,20647,1
3960,3296,1
8611,16796,1
3202,11677,1
27562,1014,1
2982,19192,1
26013,10618,1
12531,968,1
6212,17927,1
14987,2618,1
18500,5424,1
3852,2862,1
5262,523,1
27665,4461,1
27745,451,1
15921,10794,1
1607,4681,1
19239,9870,1
25936,7296,1
14574,15186,1
20385,15994,1
1218,1942,1
29942,8234,1
4985,5233,1
2747,3475,1
3179,9096,1
1131,5961,1
3216,9383,1
6427,2948,1
30405,15533,1
28913,2723,1
5516,17924,1
15797,15684,1
